year,site,block,plot,subplot,treatment,species,value,dataset_id,treatment_type,design,timepoints,time_since_disturbance,realm,taxon,metric,unit,comment
2006,Ridge,5,B,exclosure,girdle_exclosure,Temnothorax longispinosus,0.5,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,5,B,exclosure,girdle_exclosure,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,6,A,control,hemlock_management_control,Aphaenogaster picea,1.5,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,6,A,exclosure,hemlock_management_exclosure,Lasius umbratus,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,6,A,exclosure,hemlock_management_exclosure,Stenamma impar,0.5,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,6,B,disturbance,hemlock_management_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,7,A,control,hardwood_management_control,Lasius alienus,5,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,7,A,control,hardwood_management_control,Aphaenogaster picea,3,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,7,A,disturbance,hardwood_management_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Ridge,7,B,disturbance,hardwood_management_disturbance,Myrmica punctiventris,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,1,A,control,girdle_control,Camponotus pennsylvanicus,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,1,B,control,girdle_control,Camponotus pennsylvanicus,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,2,A,disturbance,log_disturbance,Formica subaenescens,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,2,A,disturbance,log_disturbance,Formica subsericea,0.5,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,2,A,exclosure,log_exclosure,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,2,B,disturbance,log_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,3,A,control,hemlock_management_control,Lasius umbratus,1,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,3,A,disturbance,hemlock_management_disturbance,Aphaenogaster picea,2,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,3,A,exclosure,hemlock_management_exclosure,Stenamma impar,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,A,control,hardwood_management_control,Aphaenogaster picea,2,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,A,exclosure,hardwood_management_exclosure,Aphaenogaster picea,3,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,A,exclosure,hardwood_management_exclosure,Myrmica punctiventris,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,B,control,hardwood_management_control,Aphaenogaster picea,0.5,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,B,control,hardwood_management_control,Camponotus pennsylvanicus,0.5,ellison_2018,manipulated community,AC,T1,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,B,disturbance,hardwood_management_disturbance,Aphaenogaster picea,1,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,B,disturbance,hardwood_management_disturbance,Formica aserva,0.5,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2006,Valley,8,B,exclosure,hardwood_management_exclosure,Aphaenogaster picea,3,ellison_2018,manipulated community,AI,T1,0,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,4,A,control,log_control,Stenamma impar,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,4,A,control,log_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,4,B,disturbance,log_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,4,B,disturbance,log_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,4,B,exclosure,log_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,control,girdle_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,control,girdle_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,disturbance,girdle_disturbance,Stenamma impar,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,disturbance,girdle_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,disturbance,girdle_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,A,exclosure,girdle_exclosure,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,B,disturbance,girdle_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,B,disturbance,girdle_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,5,B,exclosure,girdle_exclosure,Temnothorax longispinosus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,A,control,hemlock_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,A,exclosure,hemlock_management_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,B,control,hemlock_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,B,disturbance,hemlock_management_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,B,disturbance,hemlock_management_disturbance,Stenamma impar,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,B,disturbance,hemlock_management_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,6,B,exclosure,hemlock_management_exclosure,Stenamma schmittii,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,7,A,control,hardwood_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,7,B,control,hardwood_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,7,B,control,hardwood_management_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,7,B,disturbance,hardwood_management_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Ridge,7,B,exclosure,hardwood_management_exclosure,Myrmica punctiventris,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,1,A,control,girdle_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,1,A,disturbance,girdle_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,1,B,control,girdle_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,1,B,disturbance,girdle_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,1,B,exclosure,girdle_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,control,log_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,disturbance,log_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,disturbance,log_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,disturbance,log_disturbance,Camponotus novaeboracensis,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,disturbance,log_disturbance,Myrmica detritinodis,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,A,disturbance,log_disturbance,Formica neorufibarbis,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,B,disturbance,log_disturbance,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,B,disturbance,log_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,B,disturbance,log_disturbance,Formica subsericea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,2,B,exclosure,log_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,A,control,hemlock_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,A,control,hemlock_management_control,Camponotus pennsylvanicus,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,A,disturbance,hemlock_management_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,B,control,hemlock_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,B,exclosure,hemlock_management_exclosure,Lasius alienus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,3,B,exclosure,hemlock_management_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,control,hardwood_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,disturbance,hardwood_management_disturbance,Myrmica punctiventris,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,disturbance,hardwood_management_disturbance,Formica subsericea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,disturbance,hardwood_management_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,exclosure,hardwood_management_exclosure,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,A,exclosure,hardwood_management_exclosure,Lasius alienus,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,B,control,hardwood_management_control,Aphaenogaster picea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,B,control,hardwood_management_control,Myrmica punctiventris,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,B,control,hardwood_management_control,Formica subsericea,,ellison_2018,manipulated community,AC,T2,,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,B,disturbance,hardwood_management_disturbance,Formica neorufibarbis,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
2007,Valley,8,B,disturbance,hardwood_management_disturbance,Aphaenogaster picea,,ellison_2018,manipulated community,AI,T2,1,terrestrial,invertebrates,count,ind per survey,Hierarchical experimental design. Treatment is one of 8 canopy manipulation treatments. Effort: each survey corresponds to traps being open/active for 48 hours (Ellison 2005).
